sample_id,sst_phrase_id,sst_sentence_id,content,five_way_labels,three_way_labels,average_accuracy,flesch_score_textstat,mean_grade_level_textstat,number_of_words,number_of_characters,ternary_labels,sentence,pred_label,softmax_entropy
8,18575,415,"a deceivingly simple film , one that grows in power in retrospect .",4,1,0.8868868868868869,60.31,8.0,11,67,2,a deceivingly simple film one that grows in power in retrospect .,0,1.3818881669193053
13,24441,933,a refreshingly honest and ultimately touching tale of the sort of people usually ignored in contemporary american film .,5,1,0.918918918918919,27.83,15.0,18,120,2,a refreshingly honest and ultimately touching tale of the sort of people usually ignored in contemporary american film .,0,1.542465100359543
14,24480,970,"a stunning piece of visual poetry that will , hopefully , be remembered as one of the most important stories to be told in australia 's film history .",5,1,0.94994994994995,53.55,10.0,26,150,2,a stunning piece of visual poetry that will hopefully be remembered as one of the most important stories to be told in australia 's film history .,-1,1.3174726669779184
17,24638,764,an incredibly clever and superbly paced caper filled with scams within scams within scams .,4,1,0.8348348348348348,65.73,8.0,14,91,2,an incredibly clever and superbly paced caper filled with scams within scams within scams .,0,1.4634292692769837
19,25019,650,"compelling as it is exotic , fast runner has a plot that rivals shakespeare for intrigue , treachery and murder .",5,1,0.9039039039039038,61.67,12.0,18,113,2,compelling as it is exotic fast runner has a plot that rivals shakespeare for intrigue treachery and murder .,0,1.488344223924828
20,25083,975,"dazzling and sugar-sweet , a blast of shallow magnificence that only sex , scandal , and a chorus line of dangerous damsels can deliver .",5,1,0.8158158158158159,41.7,13.0,22,137,2,dazzling and sugar sweet a blast of shallow magnificence that only sex scandal and a chorus line of dangerous damsels can deliver .,-1,1.2471213578246525
22,25152,676,do we really need a 77-minute film to tell us exactly why a romantic relationship between a 15-year-old boy and a 40-year-old woman does n't work ?,1,-1,0.937937937937938,62.01,9.0,32,147,0,do we really need a 77 minute film to tell us exactly why a romantic relationship between a 15 year old boy and a 40 year old woman does n't work ?,0,1.5221149092309
23,25257,1097,"even when foreign directors ... borrow stuff from hollywood , they invariably shake up the formula and make it more interesting .",4,1,0.7907907907907908,53.37,8.0,19,129,2,even when foreign directors ... borrow stuff from hollywood they invariably shake up the formula and make it more interesting .,-1,0.7813971548023908
24,25296,761,ferrara directs the entire film with the kind of detachment that makes any given frame look like a family 's custom-made christmas card .,3,0,0.2502502502502503,56.59,11.0,24,137,1,ferrara directs the entire film with the kind of detachment that makes any given frame look like a family 's custom made christmas card .,1,1.122169168658113
26,25454,563,"greengrass has delivered an undoubted stylistic tour-de-force , and has managed elements such as sound and cinematography with skill",5,1,0.9129129129129128,36.28,15.0,20,132,2,greengrass has delivered an undoubted stylistic tour de force and has managed elements such as sound and cinematography with skill,0,0.4146122490557163
27,25812,908,"its direction , its script , and weaver 's performance as a vaguely discontented woman of substance make for a mildly entertaining 77 minutes , if that 's what you 're in the mood for .",4,1,0.4264264264264264,47.46,17.0,32,185,2,its direction its script and weaver 's performance as a vaguely discontented woman of substance make for a mildly entertaining 77 minutes if that 's what you 're in the mood for .,0,1.2525605671321651
31,26591,655,skip work to see it at the first opportunity .,4,1,0.907907907907908,79.26,5.0,9,46,2,skip work to see it at the first opportunity .,0,1.4267902573198217
32,26620,512,"sound the trumpets : for the first time since desperately seeking susan , madonna does n't suck as an actress .",4,1,0.8158158158158159,70.13,11.0,19,111,2,sound the trumpets for the first time since desperately seeking susan madonna does n't suck as an actress .,0,0.9639238900069474
33,26650,1074,"still , it gets the job done -- a sleepy afternoon rental .",2,-1,0.2442442442442442,95.17,7.0,10,59,0,still it gets the job done a sleepy afternoon rental .,0,0.8458791260383363
35,26771,596,"the best thing the film does is to show us not only what that mind looks like , but how the creative process itself operates .",4,1,0.8408408408408409,80.96,8.0,24,126,2,the best thing the film does is to show us not only what that mind looks like but how the creative process itself operates .,0,1.4661763481592154
37,26929,990,the way coppola professes his love for movies -- both colorful pop junk and the classics that unequivocally qualify as art -- is giddily entertaining .,5,1,0.905905905905906,31.21,15.0,23,151,2,the way coppola professes his love for movies both colorful pop junk and the classics that unequivocally qualify as art is giddily entertaining .,0,1.4156014100199892
39,27137,566,vividly conveys both the pitfalls and the pleasures of over-the-top love .,4,1,0.8338338338338338,68.77,5.0,13,74,2,vividly conveys both the pitfalls and the pleasures of over the top love .,0,1.424972830656829
40,27204,511,what might have been a predictably heartwarming tale is suffused with complexity .,4,1,0.3933933933933934,59.3,8.0,12,82,2,what might have been a predictably heartwarming tale is suffused with complexity .,0,1.4403152309576492
41,27306,544,"you wo n't believe much of it , but you will laugh at the audacity , at the who 's who casting and the sheer insanity of it all .",3,0,0.1501501501501501,69.45,10.0,28,129,1,you wo n't believe much of it but you will laugh at the audacity at the who 's who casting and the sheer insanity of it all .,1,1.2981312400879106
42,32271,725,has a plot full of twists upon knots ... and a nonstop parade of mock-tarantino scuzbag types that starts out clever but veers into overkill .,2,-1,0.6986986986986987,84.68,5.0,25,142,0,has a plot full of twists upon knots ... and a nonstop parade of mock tarantino scuzbag types that starts out clever but veers into overkill .,1,0.9733110470563412
43,143103,9048,"a frantic search for laughs , with a hit-to-miss ratio that does n't exactly favour the audience .",2,-1,0.8908908908908909,72.16,11.0,19,98,0,a frantic search for laughs with a hit to miss ratio that does n't exactly favour the audience .,1,1.0227398068188922
44,143545,8695,"after seeing swept away , i feel sorry for madonna .",2,-1,0.8168168168168168,79.26,5.0,9,52,0,after seeing swept away i feel sorry for madonna .,1,0.2343063258217512
45,143603,8767,"all ends well , sort of , but the frenzied comic moments never click .",2,-1,0.7007007007007007,84.68,7.0,12,70,0,all ends well sort of but the frenzied comic moments never click .,1,1.246165220277181
46,143704,8134,an afterschool special without the courage of its convictions .,2,-1,0.7137137137137137,53.88,12.0,9,63,0,an afterschool special without the courage of its convictions .,1,0.6955484029885518
47,143936,8229,aspires for the piquant but only really achieves a sort of ridiculous sourness .,2,-1,0.8638638638638638,66.74,7.0,13,80,0,aspires for the piquant but only really achieves a sort of ridiculous sourness .,1,0.6215858451281313
48,143972,7983,audiences can be expected to suspend their disbelief only so far -- and that does not include the 5 o'clock shadow on the tall wooden kid as he skips off to school .,1,-1,0.7627627627627628,56.93,13.0,32,165,0,audiences can be expected to suspend their disbelief only so far and that does not include the 5 o'clock shadow on the tall wooden kid as he skips off to school .,1,0.2641178415179732
49,144655,8557,"credit must be given to harland williams , michael rosenbaum and barry watson , who inject far more good-natured spirit and talent into this project than it deserves",4,1,0.5175175175175175,53.55,13.0,27,165,2,credit must be given to harland williams michael rosenbaum and barry watson who inject far more good natured spirit and talent into this project than it deserves,0,1.1852377004779424
50,144659,8871,creepy but ultimately unsatisfying thriller .,2,-1,0.8288288288288288,-1.29,15.0,5,45,0,creepy but ultimately unsatisfying thriller .,1,1.1537074331646602
51,145782,8051,"helmer devito ... attempts to do too many things in this story about ethics , payola , vice , murder , kids ' tv and revenge .",2,-1,0.6586586586586587,68.1,9.0,20,126,0,helmer devito ... attempts to do too many things in this story about ethics payola vice murder kids ' tv and revenge .,0,1.316553849665684
52,146095,8804,i loved looking at this movie .,4,1,0.9569569569569568,99.23,3.0,6,31,2,i loved looking at this movie .,0,0.3852032157581761
53,146138,8671,i was perplexed to watch it unfold with an astonishing lack of passion or uniqueness .,2,-1,0.8748748748748749,64.71,8.0,15,86,0,i was perplexed to watch it unfold with an astonishing lack of passion or uniqueness .,0,1.0663374948039397
54,146415,8683,"it 's a flashy , star-splashed reduction .",3,0,0.2032032032032032,73.85,9.0,7,42,1,it 's a flashy star splashed reduction .,1,1.2669243001582506
55,146434,8381,it 's a worse sign when you begin to envy her condition .,3,0,0.2132132132132132,84.68,3.0,12,57,1,it 's a worse sign when you begin to envy her condition .,1,1.3121675181467534
62,147947,8504,"opens at a funeral , ends on the protagonist 's death bed and does n't get much livelier in the three hours in between .",1,-1,0.8978978978978979,73.51,10.0,24,120,0,opens at a funeral ends on the protagonist 's death bed and does n't get much livelier in the three hours in between .,1,1.1688640922025486
63,148026,8214,"part comedy , part drama , the movie winds up accomplishing neither in full , and leaves us feeling touched and amused by several moments and ideas , but nevertheless dissatisfied with the movie as a whole .",3,0,0.083083083083083,46.44,15.0,33,207,1,part comedy part drama the movie winds up accomplishing neither in full and leaves us feeling touched and amused by several moments and ideas but nevertheless dissatisfied with the movie as a whole .,-1,0.64638656030014
64,148116,8583,"plays as hollow catharsis , with lots of tears but very little in the way of insights .",2,-1,0.7467467467467468,80.62,6.0,16,87,0,plays as hollow catharsis with lots of tears but very little in the way of insights .,0,1.0781704171312534
65,148807,8741,"splashes its drama all over the screen , subjecting its audience and characters to action that feels not only manufactured , but also so false you can see the filmmakers ' puppet strings .",1,-1,0.8948948948948949,41.03,15.0,30,188,0,splashes its drama all over the screen subjecting its audience and characters to action that feels not only manufactured but also so false you can see the filmmakers ' puppet strings .,0,1.4121455906335518
67,149229,8541,the average local news columnist has a bigger rant on the war between modern landscape architecture and small-town america .,3,0,0.3803803803803803,43.73,12.0,20,124,1,the average local news columnist has a bigger rant on the war between modern landscape architecture and small town america .,-1,0.3799151362051092
69,149794,8901,"the rest of the plot is impossible to explain without blowing whatever tension there is , although it 's more comedy than suspense de palma creates .",3,0,0.3723723723723723,46.1,13.0,25,149,1,the rest of the plot is impossible to explain without blowing whatever tension there is although it 's more comedy than suspense de palma creates .,-1,0.8412924347311506
71,150053,8057,"there 's no mistaking the fact that this hybrid misses the impact of the disney classic , and even that of the excellent 1934 mgm version .",3,0,0.077077077077077,63.02,9.0,25,139,1,there 's no mistaking the fact that this hybrid misses the impact of the disney classic and even that of the excellent 1934 mgm version .,1,1.0750162553144296
75,150318,8197,this time kaufman 's imagination has failed him .,1,-1,0.935935935935936,71.82,5.0,8,49,0,this time kaufman 's imagination has failed him .,0,1.2601939310993855
76,150510,8405,"trivial where it should be profound , and hyper-cliched where it should be sincere .",1,-1,0.8378378378378378,75.2,6.0,14,84,0,trivial where it should be profound and hyper cliched where it should be sincere .,1,0.6364474679284646
77,150520,8661,"truth to tell , if you 've seen more than half-a-dozen horror films , there 's nothing here you have n't seen before .",2,-1,0.8188188188188188,84.0,7.0,24,118,0,truth to tell if you 've seen more than half a dozen horror films there 's nothing here you have n't seen before .,0,1.337932497046487
78,150863,8275,"when perry fists a bull at the moore farm , it 's only a matter of time before he gets the upper hand in matters of the heart .",3,0,0.5475475475475475,77.91,9.0,27,127,1,when perry fists a bull at the moore farm it 's only a matter of time before he gets the upper hand in matters of the heart .,-1,1.1283636397768897
79,222110,8315,a very bad sign .,1,-1,0.9039039039039038,118.18,2.0,4,17,0,a very bad sign .,0,0.8882321755790895
81,222459,496,"as if to prove a female director can make a movie with no soft edges , kathryn bigelow offers no sugar-coating or interludes of lightness .",4,1,0.5075075075075075,64.04,10.0,25,139,2,as if to prove a female director can make a movie with no soft edges kathryn bigelow offers no sugar coating or interludes of lightness .,0,1.442810613230343
82,222573,8224,"being author wells ' great-grandson , you 'd think filmmaker simon wells would have more reverence for the material .",2,-1,0.8608608608608609,45.76,14.0,18,117,0,being author wells ' great grandson you 'd think filmmaker simon wells would have more reverence for the material .,0,0.3881629511881996
85,223511,8453,"good for a few unintentional laughs , `` extreme ops '' was obviously made for the `` xxx '' crowd , people who enjoy mindless action without the benefit of decent acting , writing , and direction .",2,-1,0.6746746746746747,33.58,16.0,29,198,0,good for a few unintentional laughs `` extreme ops '' was obviously made for the `` xxx '' crowd people who enjoy mindless action without the benefit of decent acting writing and direction .,0,1.392967547261864
86,223573,780,happily for mr. chin -- though unhappily for his subjects -- the invisible hand of the marketplace wrote a script that no human screenwriter could have hoped to match .,4,1,0.4954954954954955,66.23,10.0,27,168,2,happily for mr. chin though unhappily for his subjects the invisible hand of the marketplace wrote a script that no human screenwriter could have hoped to match .,0,1.3566289889957592
87,223837,80,i loved it !,5,1,0.988988988988989,119.19,1.0,3,12,2,i loved it !,-1,0.6017675963386064
88,224007,8975,in a word -- yes .,3,0,0.3243243243243243,118.18,2.0,4,18,1,in a word yes .,1,0.2514368942370862
89,224195,8041,it 's laughing at us .,2,-1,0.6226226226226226,100.24,2.0,5,22,0,it 's laughing at us .,0,1.3913190075620183
90,225164,669,no question .,3,0,0.8868868868868869,77.91,1.0,2,13,1,no question .,-1,0.7789893976903115
92,225332,575,only two words will tell you what you know when deciding to see it : anthony .,3,0,0.6786786786786787,81.63,6.0,15,78,1,only two words will tell you what you know when deciding to see it anthony .,-1,0.3272683445687701
93,225600,7923,remember when bond had more glamour than clamor ?,2,-1,0.6296296296296297,71.82,5.0,8,49,0,remember when bond had more glamour than clamor ?,0,1.4664191876622337
94,226271,8535,the film is directed by wally wolodarsky from a script by joe jarvis and greg coolidge .,3,0,0.925925925925926,80.62,9.0,16,88,1,the film is directed by wally wolodarsky from a script by joe jarvis and greg coolidge .,-1,0.6826692242047141
97,227681,289,`` its successes are also tempered with elements which prove the direct antithesis of what it gets right . '',3,0,0.3733733733733734,62.68,9.0,17,109,1,`` its successes are also tempered with elements which prove the direct antithesis of what it gets right . '',-1,1.3272332843536607
98,230177,421,"despite the long running time , the pace never feels slack -- there 's no scene that screams `` bathroom break ! ''",4,1,0.8638638638638638,87.05,12.0,18,115,2,despite the long running time the pace never feels slack there 's no scene that screams `` bathroom break ! '',-1,0.2855261559060502
