sst_phrase_id,sst_sentence_id,content,five_way_labels,three_way_labels,average_accuracy,flesch_score_textstat,mean_grade_level_textstat,number_of_words,number_of_characters,gold_label,pred_confidence,gold_confidence,entropy,predicted
14371,8,Perhaps no picture ever made has more literally showed that the road to hell is paved with good intentions .,4,1,0.421421421421421,69.11,8,19,108,2,0.611909472915542,0.117659333557463,1.30706967689152,0
13813,22,"A thoughtful , provocative , insistently humanizing film .",5,1,0.955955955955956,6.17,14,6,58,2,0.979941714150555,0.979941714150555,0.15566749701994,2
14633,23,"With a cast that includes some of the top actors working in independent film , Lovely & Amazing involves us because it is so incisive , so bleakly amusing about how we go about our lives .",5,1,0.852852852852853,54.9,10,33,188,2,0.997795676034709,0.997795676034709,0.022957995715392,2
14548,40,"Though it is by no means his best work , Laissez-Passer is a distinguished and distinctive effort by a bona-fide master , a fascinating film replete with rewards to be had by all willing to make the effort to reap them .",4,1,0.808808808808809,48.81,10,41,220,2,0.973642154743899,0.973642154743899,0.192415375069712,2
13788,65,"A pleasant enough movie , held together by skilled ensemble actors .",4,1,0.892892892892893,61.33,8,10,68,2,0.991473825939175,0.991473825939175,0.072439033317466,2
14493,79,"The appearance of Treebeard and Gollum 's expanded role will either have you loving what you 're seeing , or rolling your eyes .",5,1,0.904904904904905,66.07,12,22,128,2,0.638778531713684,0.638778531713684,1.22298792578629,2
223837,80,I loved it !,5,1,0.988988988988989,119.19,1,3,12,2,0.981741085626991,0.981741085626991,0.134219749490979,2
14082,121,"Hip-hop has a history , and it 's a metaphor for this love story .",3,0,0.408408408408408,92.12,4,14,66,1,0.838410825115555,0.156179318606764,0.672282011123727,2
14635,223,"With the film 's striking ending , one realizes that we have a long way to go before we fully understand all the sexual permutations involved .",5,1,0.493493493493493,46.1,13,25,143,2,0.898278096090972,0.898278096090972,0.552078406984994,2
18675,226,An unabashedly schmaltzy and thoroughly enjoyable true story .,4,1,0.934934934934935,37.98,12,8,62,2,0.996969405378708,0.996969405378708,0.03023487478239,2
227681,289,`` its successes are also tempered with elements which prove the direct antithesis of what it gets right . '',3,0,0.373373373373373,62.68,9,17,109,1,0.927386433729006,0.062632239512286,0.417539593811559,2
19365,291,This is such a dazzlingly self-assured directorial debut that it 's hard to know what to praise first .,4,1,0.8998998998999,61.67,9,19,103,2,0.934444177632978,0.934444177632978,0.389328377975365,2
18959,386,"If no one singles out any of these performances as award-worthy , it 's only because we would expect nothing less from this bunch .",5,1,0.626626626626627,65.05,9,24,131,2,0.448656176623965,0.221003144394418,1.52797894283853,0
18575,415,"A deceivingly simple film , one that grows in power in retrospect .",4,1,0.886886886886887,60.31,8,11,67,2,0.671313779210557,0.671313779210557,1.19497400402077,2
230177,421,"despite the long running time , the pace never feels slack -- there 's no scene that screams `` bathroom break ! ''",4,1,0.863863863863864,87.05,12,18,115,2,0.76257062618897,0.093357436744136,1.02029404650572,0
26419,475,"Ranging from funny to shattering and featuring some of the year 's best acting , Personal Velocity gathers plenty of dramatic momentum .",5,1,0.920920920920921,24.78,15,21,136,2,0.963608766005934,0.963608766005934,0.227316250314978,2
27092,490,Two generations within one family test boundaries in this intelligent and restrained coming-of-age drama .,5,1,0.6996996996997,31.89,12,16,106,2,0.942087560773927,0.942087560773927,0.326507316979719,2
222459,496,"As if to prove a female director can make a movie with no soft edges , Kathryn Bigelow offers no sugar-coating or interludes of lightness .",4,1,0.507507507507508,64.04,10,25,139,2,0.428689741738016,0.428689741738016,1.54765279657035,2
26811,510,"The film delivers not just the full assault of Reno 's immense wit and insight , but a time travel back to what it felt like during those unforgettably uncertain days .",5,1,0.793793793793794,57.95,10,30,168,2,0.933318052661481,0.933318052661481,0.367646103606044,2
27204,511,What might have been a predictably heartwarming tale is suffused with complexity .,4,1,0.393393393393393,59.3,8,12,82,2,0.747682008043885,0.747682008043885,0.995424774600994,2
26620,512,"Sound the trumpets : For the first time since Desperately Seeking Susan , Madonna does n't suck as an actress .",4,1,0.815815815815816,70.13,11,19,111,2,0.58517860992479,0.212695342839984,1.3935900125882,1
26302,522,One scarcely needs the subtitles to enjoy this colorful action farce .,4,1,0.797797797797798,60.31,8,11,70,2,0.496337130252237,0.194212982344491,1.48443564179955,0
27306,544,"You wo n't believe much of it , but you will laugh at the audacity , at the who 's who casting and the sheer insanity of it all .",3,0,0.15015015015015,69.45,10,28,129,1,0.628530254779268,0.251339744792436,1.28909999358227,2
24277,556,"A bowel-curdling , heart-stopping recipe for terror .",4,1,0.743743743743744,31.55,0,8,53,2,0.682271334252609,0.682271334252609,1.0841060463693,2
25454,563,"Greengrass has delivered an undoubted stylistic tour-de-force , and has managed elements such as sound and cinematography with skill",5,1,0.912912912912913,36.28,15,20,132,2,0.994820938727105,0.994820938727105,0.047164351909942,2
27137,566,Vividly conveys both the pitfalls and the pleasures of over-the-top love .,4,1,0.833833833833834,68.77,5,13,74,2,0.978252368402432,0.978252368402432,0.154963536993235,2
225332,575,Only two words will tell you what you know when deciding to see it : Anthony .,3,0,0.678678678678679,81.63,6,15,78,1,0.603248597438024,0.603248597438024,1.13406400663202,1
26559,585,Several degrees shy of the gross-out contests one expects from current teen fare .,3,0,0.288288288288288,66.74,12,14,82,1,0.633144235271625,0.633144235271625,1.221308185655,1
26771,596,"The best thing the film does is to show us not only what that mind looks like , but how the creative process itself operates .",4,1,0.840840840840841,80.96,8,24,126,2,0.61156319167934,0.61156319167934,1.26036013868949,2
25019,650,"Compelling as it is exotic , Fast Runner has a plot that rivals Shakespeare for intrigue , treachery and murder .",5,1,0.903903903903904,61.67,12,18,113,2,0.83543929248802,0.83543929248802,0.703624660335138,2
26591,655,Skip work to see it at the first opportunity .,4,1,0.907907907907908,79.26,5,9,46,2,0.634741027929949,0.090453913900304,1.24191653386648,0
24868,662,Both deeply weird and charmingly dear .,4,1,0.850850850850851,90.77,0,6,39,2,0.945522854395662,0.945522854395662,0.352631527943107,2
225164,669,No question .,3,0,0.886886886886887,77.91,1,2,13,1,0.625106091542497,0.625106091542497,1.15287076492349,1
25152,676,Do we really need a 77-minute film to tell us exactly why a romantic relationship between a 15-year-old boy and a 40-year-old woman does n't work ?,1,-1,0.937937937937938,62.01,9,32,147,0,0.438212666314618,0.438212666314618,1.55025861575944,0
222443,680,"As adapted by Kevin Molony from Simon Leys ' novel `` The Death of Napoleon '' and directed by Alan Taylor , Napoleon 's journey is interesting but his Parisian rebirth is stillborn",2,-1,0.585585585585586,58.96,12,29,181,0,0.990528860151385,0.003075016754384,0.085879350631071,1
32271,725,has a plot full of twists upon knots ... and a nonstop parade of mock-Tarantino scuzbag types that starts out clever but veers into overkill .,2,-1,0.698698698698699,84.68,5,25,142,0,0.43195988240918,0.367453883517395,1.51875401375404,1
25372,758,"From the big giant titles of the opening credits to Elmer Bernstein 's perfectly melodic score , Haynes gets just about everything right .",4,1,0.934934934934935,57.61,11,22,138,2,0.926567367413142,0.926567367413142,0.426270944005352,2
25296,761,Ferrara directs the entire film with the kind of detachment that makes any given frame look like a family 's custom-made Christmas card .,3,0,0.25025025025025,56.59,11,24,137,1,0.553095814908384,0.415987595945194,1.15401124821849,2
24638,764,An incredibly clever and superbly paced caper filled with scams within scams within scams .,4,1,0.834834834834835,65.73,8,14,91,2,0.980676984526167,0.980676984526167,0.142122459322783,2
223573,780,Happily for Mr. Chin -- though unhappily for his subjects -- the invisible hand of the marketplace wrote a script that no human screenwriter could have hoped to match .,4,1,0.495495495495496,66.23,10,27,168,2,0.376758559842761,0.376758559842761,1.57478214716396,2
26707,818,"The 3D images only enhance the film 's otherworldly quality , giving it a strange combo of you-are-there closeness with the disorienting unreality of the seemingly broken-down fourth wall of the movie screen .",5,1,0.668668668668669,30.54,17,35,209,2,0.732358296378754,0.732358296378754,0.92229004500246,2
25812,908,"Its direction , its script , and Weaver 's performance as a vaguely discontented woman of substance make for a mildly entertaining 77 minutes , if that 's what you 're in the mood for .",4,1,0.426426426426426,47.46,17,32,185,2,0.526809255868222,0.526809255868222,1.35800639979889,2
24441,933,A refreshingly honest and ultimately touching tale of the sort of people usually ignored in contemporary American film .,5,1,0.918918918918919,27.83,15,18,120,2,0.959182445792399,0.959182445792399,0.253938085393359,2
25110,952,"Despite what anyone believes about the goal of its makers , the show ... represents a spectacular piece of theater , and there 's no denying the talent of the creative forces behind it .",5,1,0.910910910910911,64.2,9,31,186,2,0.842374413642521,0.842374413642521,0.713053076018507,2
24480,970,"A stunning piece of visual poetry that will , hopefully , be remembered as one of the most important stories to be told in Australia 's film history .",5,1,0.94994994994995,53.55,10,26,150,2,0.996114003510899,0.996114003510899,0.037117191256326,2
25083,975,"Dazzling and sugar-sweet , a blast of shallow magnificence that only sex , scandal , and a chorus line of dangerous damsels can deliver .",5,1,0.815815815815816,41.7,13,22,137,2,0.541840017010448,0.541840017010448,1.34374602012386,2
26929,990,The way Coppola professes his love for movies -- both colorful pop junk and the classics that unequivocally qualify as art -- is giddily entertaining .,5,1,0.905905905905906,31.21,15,23,151,2,0.97979295380215,0.97979295380215,0.148814284216695,2
24617,998,"An endlessly fascinating , landmark movie that is as bold as anything the cinema has seen in years .",5,1,0.951951951951952,62.68,10,17,100,2,0.998761018763829,0.998761018763829,0.013953753750206,2
24626,1038,An excellent romp that boasts both a heart and a mind .,5,1,0.95995995995996,94.15,3,11,55,2,0.99802362638466,0.99802362638466,0.021194457823052,2
26650,1074,"Still , it gets the job done -- a sleepy afternoon rental .",2,-1,0.244244244244244,95.17,7,10,59,0,0.473346862323847,0.473346862323847,1.51247701300426,0
25257,1097,"Even when foreign directors ... borrow stuff from Hollywood , they invariably shake up the formula and make it more interesting .",4,1,0.790790790790791,53.37,8,19,129,2,0.543682813101336,0.136676386013282,1.39636750791437,0
147407,7918,"Meandering , sub-aquatic mess : It 's so bad it 's good , but only if you slide in on a freebie .",1,-1,0.733733733733734,69.11,9,20,97,0,0.699597131175665,0.699597131175665,1.07675656119261,0
225600,7923,Remember when Bond had more glamour than clamor ?,2,-1,0.62962962962963,71.82,5,8,49,0,0.386762791227479,0.386762791227479,1.56815912712421,0
143972,7983,Audiences can be expected to suspend their disbelief only so far -- and that does not include the 5 o'clock shadow on the tall wooden kid as he skips off to school .,1,-1,0.762762762762763,56.93,13,32,165,0,0.836436257012011,0.836436257012011,0.779871863986228,0
147211,7998,"Literally nothing in The Pool is new , but if you grew up on the stalker flicks of the 1980 's this one should appease you for 90 minutes .",3,0,0.292292292292292,68.44,11,28,139,1,0.638702788325388,0.199108701151986,1.30232566519555,0
224195,8041,It 's laughing at us .,2,-1,0.622622622622623,100.24,2,5,22,0,0.857030246450741,0.019155962195399,0.673209170747796,2
145782,8051,"Helmer DeVito ... attempts to do too many things in this story about ethics , payola , vice , murder , kids ' TV and revenge .",2,-1,0.658658658658659,68.1,9,20,126,0,0.887799914747807,0.887799914747807,0.557111853352238,0
150053,8057,"There 's no mistaking the fact that this hybrid misses the impact of the Disney classic , and even that of the excellent 1934 MGM version .",3,0,0.077077077077077,63.02,9,25,139,1,0.78809808995241,0.118838856050834,0.954737082006239,2
143704,8134,An Afterschool Special without the courage of its convictions .,2,-1,0.713713713713714,53.88,12,9,63,0,0.414182753025808,0.257443329032579,1.55825158019772,2
150208,8192,This ill-fitting Tuxedo is strictly off-the-rack .,3,0,0.184184184184184,48.47,8,9,50,1,0.910065469598254,0.084245337729524,0.466851418344832,0
150318,8197,This time Kaufman 's imagination has failed him .,1,-1,0.935935935935936,71.82,5,8,49,0,0.829999599050201,0.829999599050201,0.763175602814824,0
148026,8214,"Part comedy , part drama , the movie winds up accomplishing neither in full , and leaves us feeling touched and amused by several moments and ideas , but nevertheless dissatisfied with the movie as a whole .",3,0,0.083083083083083,46.44,15,33,207,1,0.426188370398767,0.252848691061234,1.55218774541598,0
222573,8224,"Being author Wells ' great-grandson , you 'd think filmmaker Simon Wells would have more reverence for the material .",2,-1,0.860860860860861,45.76,14,18,117,0,0.651041316501795,0.051130318837676,1.14288293026524,2
143936,8229,Aspires for the piquant but only really achieves a sort of ridiculous sourness .,2,-1,0.863863863863864,66.74,7,13,80,0,0.754512131776988,0.754512131776988,0.979709390920229,0
150863,8275,"When Perry fists a bull at the Moore Farm , it 's only a matter of time before he gets the upper hand in matters of the heart .",3,0,0.547547547547548,77.91,9,27,127,1,0.376105862171349,0.368427022152302,1.56430461456972,0
147497,8284,Morrissette 's script and direction show a fair amount of intelligence and wit -- but it does n't signify a whole lot either .,3,0,0.36036036036036,57.61,9,23,126,1,0.559231502845481,0.176772178368453,1.41808801082647,2
222110,8315,A very bad sign .,1,-1,0.903903903903904,118.18,2,4,17,0,0.74813246938373,0.74813246938373,0.897450752712284,0
146434,8381,It 's a worse sign when you begin to envy her condition .,3,0,0.213213213213213,84.68,3,12,57,1,0.706761849572026,0.204146637942953,1.13265013916443,0
150181,8384,This film 's relationship to actual tension is the same as what Christmas-tree flocking in a spray can is to actual snow : a poor -- if durable -- imitation .,2,-1,0.914914914914915,52.53,10,28,158,0,0.894244065308601,0.894244065308601,0.502650022879236,0
146607,8396,All this turns out to be neither funny nor provocative - only dull .,2,-1,0.846846846846847,84.68,6,12,68,0,0.600712474981071,0.600712474981071,1.21573617473792,0
150510,8405,"Trivial where it should be profound , and hyper-cliched where it should be sincere .",1,-1,0.837837837837838,75.2,6,14,84,0,0.83978675258071,0.0370863891822,0.759879494569806,2
223511,8453,"Good for a few unintentional laughs , `` Extreme Ops '' was obviously made for the `` XXX '' crowd , people who enjoy mindless action without the benefit of decent acting , writing , and direction .",2,-1,0.674674674674675,33.58,16,29,198,0,0.404306757963644,0.404306757963644,1.55151040437223,0
226877,8476,"Unless you are in dire need of a Diesel fix , there is no real reason to see it .",2,-1,0.927927927927928,87.05,6,18,81,0,0.570538246912271,0.570538246912271,1.30540096581764,0
147947,8504,"Opens at a funeral , ends on the protagonist 's death bed and does n't get much livelier in the three hours in between .",1,-1,0.897897897897898,73.51,10,24,120,0,0.612855781189307,0.612855781189307,1.12589321174087,0
226271,8535,The film is directed by Wally Wolodarsky from a script by Joe Jarvis and Greg Coolidge .,3,0,0.925925925925926,80.62,9,16,88,1,0.908305251825259,0.908305251825259,0.530700285458212,1
149229,8541,The average local news columnist has a bigger rant on the war between modern landscape architecture and small-town America .,3,0,0.38038038038038,43.73,12,20,124,1,0.56913645571596,0.417814930802868,1.07053485328052,2
144655,8557,"Credit must be given to Harland Williams , Michael Rosenbaum and Barry Watson , who inject far more good-natured spirit and talent into this project than it deserves",4,1,0.517517517517518,53.55,13,27,165,2,0.770223140539238,0.770223140539238,0.962513810147133,2
148116,8583,"Plays as hollow catharsis , with lots of tears but very little in the way of insights .",2,-1,0.746746746746747,80.62,6,16,87,0,0.388990015187687,0.388990015187687,1.56367942808582,0
222744,8626,But hard-to-believe plot twists force the movie off track in its final half hour .,2,-1,0.826826826826827,91.11,9,16,82,0,0.59614220177047,0.59614220177047,1.23591228052093,0
150520,8661,"Truth to tell , if you 've seen more than half-a-dozen horror films , there 's nothing here you have n't seen before .",2,-1,0.818818818818819,84,7,24,118,0,0.37398243136473,0.253702587461591,1.56338874226033,1
146138,8671,I was perplexed to watch it unfold with an astonishing lack of passion or uniqueness .,2,-1,0.874874874874875,64.71,8,15,86,0,0.497485884732606,0.288150343447634,1.49465215315602,2
146415,8683,"It 's a flashy , star-splashed reduction .",3,0,0.203203203203203,73.85,9,7,42,1,0.483809953427112,0.339367551707121,1.47787608343109,2
150282,8687,This one does .,3,0,0.802802802802803,119.19,1,3,15,1,0.682718437436222,0.682718437436222,1.16122920660475,1
143545,8695,"After seeing SWEPT AWAY , I feel sorry for Madonna .",2,-1,0.816816816816817,79.26,5,9,52,0,0.784893234457362,0.784893234457362,0.957552534307493,0
148807,8741,"Splashes its drama all over the screen , subjecting its audience and characters to action that feels not only manufactured , but also so false you can see the filmmakers ' puppet strings .",1,-1,0.894894894894895,41.03,15,30,188,0,0.851679570959406,0.851679570959406,0.7277354143495,0
143603,8767,"All ends well , sort of , but the frenzied comic moments never click .",2,-1,0.700700700700701,84.68,7,12,70,0,0.497436308011027,0.497436308011027,1.49933976351085,0
226497,8782,"The story is less vibrant , the jokes are a little lukewarm , but will anyone really care ?",3,0,0.22022022022022,72.16,8,16,91,1,0.509736965685742,0.384336026626351,1.36885065128617,0
146495,8797,It 's hard not to feel you 've just watched a feature-length video game with some really heavy back story .,1,-1,0.476476476476477,76.56,8,21,107,0,0.452685405650034,0.325450051497883,1.52661799385429,2
146095,8804,I loved looking at this movie .,4,1,0.956956956956957,99.23,3,6,31,2,0.896718574886884,0.896718574886884,0.527877434186129,2
147390,8815,"Maybe it 's asking too much , but if a movie is truly going to inspire me , I want a little more than this .",2,-1,0.868868868868869,81.97,8,23,108,0,0.401973963690464,0.331760763373643,1.56493497860693,2
149110,8826,"The Irwins emerge unscathed , but the fictional footage is unconvincing and criminally badly acted .",1,-1,0.91991991991992,31.89,14,14,100,0,0.654446436788173,0.654446436788173,1.13276519451998,0
144659,8871,Creepy but ultimately unsatisfying thriller .,2,-1,0.828828828828829,-1.29,15,5,45,0,0.554794878879511,0.554794878879511,1.26651634140309,0
225184,8875,"Not ` terrible filmmaking ' bad , but more like , ' I once had a nightmare like this , and it 's now coming true ' bad .",2,-1,0.865865865865866,75.54,8,21,120,0,0.774400466426361,0.774400466426361,0.939345720909479,0
149794,8901,"The rest of the plot is impossible to explain without blowing whatever tension there is , although it 's more comedy than suspense De Palma creates .",3,0,0.372372372372372,46.1,13,25,149,1,0.34503353099349,0.328055112464296,1.5845192236013,2
223018,8974,Could The Country Bears really be as bad as its trailers ?,1,-1,0.781781781781782,77.23,6,11,58,0,0.641735504340343,0.641735504340343,1.09795339438064,0
224007,8975,In a word -- yes .,3,0,0.324324324324324,118.18,2,4,18,1,0.514099921869905,0.407195048693179,1.30992623801533,2
149771,8980,The problem with this film is that it 's forced to make its characters idiots in order to advance the plot .,2,-1,0.915915915915916,75.54,10,21,108,0,0.959704791457363,0.959704791457363,0.255480347004979,0
143103,9048,"A frantic search for laughs , with a hit-to-miss ratio that does n't exactly favour the audience .",2,-1,0.890890890890891,72.16,11,19,98,0,0.5645257182026,0.5645257182026,1.38713323189887,0
149900,9066,"The stupidest , most insulting movie of 2002 's first quarter .",1,-1,0.968968968968969,69.79,10,10,63,0,0.982792399268745,0.982792399268745,0.131857192633091,0
