sample_id,sst_phrase_id,sst_sentence_id,content,five_way_labels,three_way_labels,average_accuracy,flesch_score_textstat,mean_grade_level_textstat,number_of_words,number_of_characters,label,pred_label,prob_entropy,confidence
0,13788,65,"A pleasant enough movie , held together by skilled ensemble actors .",4,1,0.8928928928928929,61.33,8.0,10,68,2,0,1.526855294218026,0.446581992017106
1,13813,22,"A thoughtful , provocative , insistently humanizing film .",5,1,0.955955955955956,6.17,14.0,6,58,2,2,1.5422492625918975,0.3941670370998816
2,14082,121,"Hip-hop has a history , and it 's a metaphor for this love story .",3,0,0.4084084084084084,92.12,4.0,14,66,1,0,1.4518172752260323,0.5417453191012649
3,14371,8,Perhaps no picture ever made has more literally showed that the road to hell is paved with good intentions .,4,1,0.4214214214214214,69.11,8.0,19,108,2,2,1.4961297776480629,0.5035726500582683
4,14493,79,"The appearance of Treebeard and Gollum 's expanded role will either have you loving what you 're seeing , or rolling your eyes .",5,1,0.9049049049049048,66.07,12.0,22,128,2,0,1.44851873959572,0.5143121678640099
5,14548,40,"Though it is by no means his best work , Laissez-Passer is a distinguished and distinctive effort by a bona-fide master , a fascinating film replete with rewards to be had by all willing to make the effort to reap them .",4,1,0.8088088088088088,48.81,10.0,41,220,2,2,1.4975933216226438,0.4368089361740678
6,14633,23,"With a cast that includes some of the top actors working in independent film , Lovely & Amazing involves us because it is so incisive , so bleakly amusing about how we go about our lives .",5,1,0.8528528528528528,54.9,10.0,33,188,2,2,1.4876905979562094,0.4890898254340268
7,14635,223,"With the film 's striking ending , one realizes that we have a long way to go before we fully understand all the sexual permutations involved .",5,1,0.4934934934934935,46.1,13.0,25,143,2,2,1.5235412258505934,0.4704849436882337
8,18575,415,"A deceivingly simple film , one that grows in power in retrospect .",4,1,0.8868868868868869,60.31,8.0,11,67,2,0,1.5146497308202445,0.4688405945390936
9,18675,226,An unabashedly schmaltzy and thoroughly enjoyable true story .,4,1,0.934934934934935,37.98,12.0,8,62,2,0,1.458902245265009,0.4446526991050342
10,18959,386,"If no one singles out any of these performances as award-worthy , it 's only because we would expect nothing less from this bunch .",5,1,0.6266266266266266,65.05,9.0,24,131,2,2,1.4870313931819277,0.4458844452760354
11,19365,291,This is such a dazzlingly self-assured directorial debut that it 's hard to know what to praise first .,4,1,0.8998998998998999,61.67,9.0,19,103,2,0,1.497731675488778,0.479247488418924
12,24277,556,"A bowel-curdling , heart-stopping recipe for terror .",4,1,0.7437437437437437,31.55,0.0,8,53,2,0,1.4694409022956478,0.4967554908609481
13,24441,933,A refreshingly honest and ultimately touching tale of the sort of people usually ignored in contemporary American film .,5,1,0.918918918918919,27.83,15.0,18,120,2,0,1.4756491312752245,0.506452829907525
14,24480,970,"A stunning piece of visual poetry that will , hopefully , be remembered as one of the most important stories to be told in Australia 's film history .",5,1,0.94994994994995,53.55,10.0,26,150,2,0,1.5721587312534613,0.3967962941719397
15,24617,998,"An endlessly fascinating , landmark movie that is as bold as anything the cinema has seen in years .",5,1,0.951951951951952,62.68,10.0,17,100,2,2,1.499045203322305,0.499670329844002
16,24626,1038,An excellent romp that boasts both a heart and a mind .,5,1,0.95995995995996,94.15,3.0,11,55,2,0,1.3882376723689325,0.5075306397789799
17,24638,764,An incredibly clever and superbly paced caper filled with scams within scams within scams .,4,1,0.8348348348348348,65.73,8.0,14,91,2,2,1.5498581263898212,0.406753228542559
18,24868,662,Both deeply weird and charmingly dear .,4,1,0.8508508508508509,90.77,0.0,6,39,2,0,1.5412428490688006,0.4156023752664035
19,25019,650,"Compelling as it is exotic , Fast Runner has a plot that rivals Shakespeare for intrigue , treachery and murder .",5,1,0.9039039039039038,61.67,12.0,18,113,2,0,1.5406748987190524,0.4335861649936648
20,25083,975,"Dazzling and sugar-sweet , a blast of shallow magnificence that only sex , scandal , and a chorus line of dangerous damsels can deliver .",5,1,0.8158158158158159,41.7,13.0,22,137,2,2,1.4377183327142835,0.5072837254659701
21,25110,952,"Despite what anyone believes about the goal of its makers , the show ... represents a spectacular piece of theater , and there 's no denying the talent of the creative forces behind it .",5,1,0.9109109109109108,64.2,9.0,31,186,2,1,1.5360968624920823,0.4278116671313065
22,25152,676,Do we really need a 77-minute film to tell us exactly why a romantic relationship between a 15-year-old boy and a 40-year-old woman does n't work ?,1,-1,0.937937937937938,62.01,9.0,32,147,0,2,1.5728916989806163,0.3900863663984457
23,25257,1097,"Even when foreign directors ... borrow stuff from Hollywood , they invariably shake up the formula and make it more interesting .",4,1,0.7907907907907908,53.37,8.0,19,129,2,2,1.410884181223023,0.5348536710785416
24,25296,761,Ferrara directs the entire film with the kind of detachment that makes any given frame look like a family 's custom-made Christmas card .,3,0,0.2502502502502503,56.59,11.0,24,137,1,2,1.545197236913244,0.396550833823506
25,25372,758,"From the big giant titles of the opening credits to Elmer Bernstein 's perfectly melodic score , Haynes gets just about everything right .",4,1,0.934934934934935,57.61,11.0,22,138,2,2,1.445413175864566,0.5005382335496344
26,25454,563,"Greengrass has delivered an undoubted stylistic tour-de-force , and has managed elements such as sound and cinematography with skill",5,1,0.9129129129129128,36.28,15.0,20,132,2,2,1.5572979054821054,0.4268444615809477
27,25812,908,"Its direction , its script , and Weaver 's performance as a vaguely discontented woman of substance make for a mildly entertaining 77 minutes , if that 's what you 're in the mood for .",4,1,0.4264264264264264,47.46,17.0,32,185,2,2,1.4532279833416772,0.4892199471721183
28,26302,522,One scarcely needs the subtitles to enjoy this colorful action farce .,4,1,0.7977977977977978,60.31,8.0,11,70,2,0,1.4212959519578872,0.4397666540211048
29,26419,475,"Ranging from funny to shattering and featuring some of the year 's best acting , Personal Velocity gathers plenty of dramatic momentum .",5,1,0.9209209209209208,24.78,15.0,21,136,2,2,1.3664707530499318,0.6002374856769539
30,26559,585,Several degrees shy of the gross-out contests one expects from current teen fare .,3,0,0.2882882882882883,66.74,12.0,14,82,1,0,1.4542334216252877,0.5242604949373539
31,26591,655,Skip work to see it at the first opportunity .,4,1,0.907907907907908,79.26,5.0,9,46,2,0,1.3629041621180111,0.5944078213498689
32,26620,512,"Sound the trumpets : For the first time since Desperately Seeking Susan , Madonna does n't suck as an actress .",4,1,0.8158158158158159,70.13,11.0,19,111,2,0,1.4424410075759455,0.4892938621019139
33,26650,1074,"Still , it gets the job done -- a sleepy afternoon rental .",2,-1,0.2442442442442442,95.17,7.0,10,59,0,2,1.5336230750213768,0.4507418083235379
34,26707,818,"The 3D images only enhance the film 's otherworldly quality , giving it a strange combo of you-are-there closeness with the disorienting unreality of the seemingly broken-down fourth wall of the movie screen .",5,1,0.6686686686686687,30.54,17.0,35,209,2,2,1.413022064856504,0.5554474701200477
35,26771,596,"The best thing the film does is to show us not only what that mind looks like , but how the creative process itself operates .",4,1,0.8408408408408409,80.96,8.0,24,126,2,2,1.4349948868439686,0.4811086471595268
36,26811,510,"The film delivers not just the full assault of Reno 's immense wit and insight , but a time travel back to what it felt like during those unforgettably uncertain days .",5,1,0.7937937937937938,57.95,10.0,30,168,2,0,1.5228885763445856,0.4259349975480637
37,26929,990,The way Coppola professes his love for movies -- both colorful pop junk and the classics that unequivocally qualify as art -- is giddily entertaining .,5,1,0.905905905905906,31.21,15.0,23,151,2,0,1.3395871331926277,0.5667744904191422
38,27092,490,Two generations within one family test boundaries in this intelligent and restrained coming-of-age drama .,5,1,0.6996996996996997,31.89,12.0,16,106,2,0,1.484894508684181,0.4980445831214549
39,27137,566,Vividly conveys both the pitfalls and the pleasures of over-the-top love .,4,1,0.8338338338338338,68.77,5.0,13,74,2,0,1.4006230933375197,0.463667013591748
40,27204,511,What might have been a predictably heartwarming tale is suffused with complexity .,4,1,0.3933933933933934,59.3,8.0,12,82,2,0,1.4919738009596015,0.4806219719516518
41,27306,544,"You wo n't believe much of it , but you will laugh at the audacity , at the who 's who casting and the sheer insanity of it all .",3,0,0.1501501501501501,69.45,10.0,28,129,1,2,1.4797524145389502,0.4276164940591768
42,32271,725,has a plot full of twists upon knots ... and a nonstop parade of mock-Tarantino scuzbag types that starts out clever but veers into overkill .,2,-1,0.6986986986986987,84.68,5.0,25,142,0,2,1.501283732623246,0.4451218109555222
43,143103,9048,"A frantic search for laughs , with a hit-to-miss ratio that does n't exactly favour the audience .",2,-1,0.8908908908908909,72.16,11.0,19,98,0,0,1.521651885455405,0.445714101350299
44,143545,8695,"After seeing SWEPT AWAY , I feel sorry for Madonna .",2,-1,0.8168168168168168,79.26,5.0,9,52,0,0,1.4628698696642803,0.5225299893397374
45,143603,8767,"All ends well , sort of , but the frenzied comic moments never click .",2,-1,0.7007007007007007,84.68,7.0,12,70,0,2,1.523173580022075,0.4730688459640144
46,143704,8134,An Afterschool Special without the courage of its convictions .,2,-1,0.7137137137137137,53.88,12.0,9,63,0,2,1.4995841654896211,0.4753274065925381
47,143936,8229,Aspires for the piquant but only really achieves a sort of ridiculous sourness .,2,-1,0.8638638638638638,66.74,7.0,13,80,0,2,1.4741235447575862,0.4761733514464468
48,143972,7983,Audiences can be expected to suspend their disbelief only so far -- and that does not include the 5 o'clock shadow on the tall wooden kid as he skips off to school .,1,-1,0.7627627627627628,56.93,13.0,32,165,0,0,1.426574894102622,0.4544147025963684
49,144655,8557,"Credit must be given to Harland Williams , Michael Rosenbaum and Barry Watson , who inject far more good-natured spirit and talent into this project than it deserves",4,1,0.5175175175175175,53.55,13.0,27,165,2,2,1.528834571492624,0.4297214038728735
50,144659,8871,Creepy but ultimately unsatisfying thriller .,2,-1,0.8288288288288288,-1.29,15.0,5,45,0,2,1.5021108187335392,0.4518432568848568
51,145782,8051,"Helmer DeVito ... attempts to do too many things in this story about ethics , payola , vice , murder , kids ' TV and revenge .",2,-1,0.6586586586586587,68.1,9.0,20,126,0,0,1.5632434256100245,0.3805752738357334
52,146095,8804,I loved looking at this movie .,4,1,0.9569569569569568,99.23,3.0,6,31,2,0,1.4870798780288372,0.4653143263050822
53,146138,8671,I was perplexed to watch it unfold with an astonishing lack of passion or uniqueness .,2,-1,0.8748748748748749,64.71,8.0,15,86,0,2,1.518385613705511,0.4385011220874044
54,146415,8683,"It 's a flashy , star-splashed reduction .",3,0,0.2032032032032032,73.85,9.0,7,42,1,0,1.4492962802720066,0.4833924222942782
55,146434,8381,It 's a worse sign when you begin to envy her condition .,3,0,0.2132132132132132,84.68,3.0,12,57,1,0,1.4396043705845174,0.4596002406574597
56,146495,8797,It 's hard not to feel you 've just watched a feature-length video game with some really heavy back story .,1,-1,0.4764764764764764,76.56,8.0,21,107,0,2,1.3215012584133083,0.5900060502899634
57,146607,8396,All this turns out to be neither funny nor provocative - only dull .,2,-1,0.8468468468468469,84.68,6.0,12,68,0,2,1.5723445572299872,0.396074230197747
58,147211,7998,"Literally nothing in The Pool is new , but if you grew up on the stalker flicks of the 1980 's this one should appease you for 90 minutes .",3,0,0.2922922922922923,68.44,11.0,28,139,1,0,1.4470612722460166,0.545734481376665
59,147390,8815,"Maybe it 's asking too much , but if a movie is truly going to inspire me , I want a little more than this .",2,-1,0.8688688688688688,81.97,8.0,23,108,0,2,1.4528110735540545,0.4737635530257768
60,147407,7918,"Meandering , sub-aquatic mess : It 's so bad it 's good , but only if you slide in on a freebie .",1,-1,0.7337337337337337,69.11,9.0,20,97,0,0,1.4962747930082887,0.4632762709355071
61,147497,8284,Morrissette 's script and direction show a fair amount of intelligence and wit -- but it does n't signify a whole lot either .,3,0,0.3603603603603603,57.61,9.0,23,126,1,0,1.5512784375465696,0.4271875769021934
62,147947,8504,"Opens at a funeral , ends on the protagonist 's death bed and does n't get much livelier in the three hours in between .",1,-1,0.8978978978978979,73.51,10.0,24,120,0,2,1.4330806035730863,0.4954993990620245
63,148026,8214,"Part comedy , part drama , the movie winds up accomplishing neither in full , and leaves us feeling touched and amused by several moments and ideas , but nevertheless dissatisfied with the movie as a whole .",3,0,0.083083083083083,46.44,15.0,33,207,1,0,1.401229837518879,0.5673120458322046
64,148116,8583,"Plays as hollow catharsis , with lots of tears but very little in the way of insights .",2,-1,0.7467467467467468,80.62,6.0,16,87,0,0,1.522028464010398,0.408406346238673
65,148807,8741,"Splashes its drama all over the screen , subjecting its audience and characters to action that feels not only manufactured , but also so false you can see the filmmakers ' puppet strings .",1,-1,0.8948948948948949,41.03,15.0,30,188,0,2,1.4234573943856428,0.5192895447789997
66,149110,8826,"The Irwins emerge unscathed , but the fictional footage is unconvincing and criminally badly acted .",1,-1,0.91991991991992,31.89,14.0,14,100,0,2,1.4938022316978408,0.4475118278772002
67,149229,8541,The average local news columnist has a bigger rant on the war between modern landscape architecture and small-town America .,3,0,0.3803803803803803,43.73,12.0,20,124,1,0,1.4021121257958578,0.4892866468234793
68,149771,8980,The problem with this film is that it 's forced to make its characters idiots in order to advance the plot .,2,-1,0.915915915915916,75.54,10.0,21,108,0,2,1.5288189020693246,0.4120922756224486
69,149794,8901,"The rest of the plot is impossible to explain without blowing whatever tension there is , although it 's more comedy than suspense De Palma creates .",3,0,0.3723723723723723,46.1,13.0,25,149,1,2,1.2202880490253454,0.6651110265271037
70,149900,9066,"The stupidest , most insulting movie of 2002 's first quarter .",1,-1,0.968968968968969,69.79,10.0,10,63,0,0,1.4978494601294006,0.451969957859844
71,150053,8057,"There 's no mistaking the fact that this hybrid misses the impact of the Disney classic , and even that of the excellent 1934 MGM version .",3,0,0.077077077077077,63.02,9.0,25,139,1,2,1.4929287529861568,0.4890240703154964
72,150181,8384,This film 's relationship to actual tension is the same as what Christmas-tree flocking in a spray can is to actual snow : a poor -- if durable -- imitation .,2,-1,0.914914914914915,52.53,10.0,28,158,0,2,1.4875603849563612,0.4645950544558517
73,150208,8192,This ill-fitting Tuxedo is strictly off-the-rack .,3,0,0.1841841841841842,48.47,8.0,9,50,1,0,1.4504537906865629,0.449595112834284
74,150282,8687,This one does .,3,0,0.8028028028028028,119.19,1.0,3,15,1,0,1.4802381309791235,0.5169813924168458
75,150318,8197,This time Kaufman 's imagination has failed him .,1,-1,0.935935935935936,71.82,5.0,8,49,0,0,1.4353407801577551,0.4791375027565984
76,150510,8405,"Trivial where it should be profound , and hyper-cliched where it should be sincere .",1,-1,0.8378378378378378,75.2,6.0,14,84,0,2,1.4833567422422245,0.4999840676290901
77,150520,8661,"Truth to tell , if you 've seen more than half-a-dozen horror films , there 's nothing here you have n't seen before .",2,-1,0.8188188188188188,84.0,7.0,24,118,0,2,1.5090206001429236,0.4907272231820999
78,150863,8275,"When Perry fists a bull at the Moore Farm , it 's only a matter of time before he gets the upper hand in matters of the heart .",3,0,0.5475475475475475,77.91,9.0,27,127,1,2,1.5051166765333357,0.4939864191400487
79,222110,8315,A very bad sign .,1,-1,0.9039039039039038,118.18,2.0,4,17,0,2,1.4417862278304323,0.4352130948018906
80,222443,680,"As adapted by Kevin Molony from Simon Leys ' novel `` The Death of Napoleon '' and directed by Alan Taylor , Napoleon 's journey is interesting but his Parisian rebirth is stillborn",2,-1,0.5855855855855856,58.96,12.0,29,181,0,0,1.4399176445607096,0.4656642859726014
81,222459,496,"As if to prove a female director can make a movie with no soft edges , Kathryn Bigelow offers no sugar-coating or interludes of lightness .",4,1,0.5075075075075075,64.04,10.0,25,139,2,0,1.473230378019773,0.4807473444423908
82,222573,8224,"Being author Wells ' great-grandson , you 'd think filmmaker Simon Wells would have more reverence for the material .",2,-1,0.8608608608608609,45.76,14.0,18,117,0,2,1.4544461099550623,0.4824224980552579
83,222744,8626,But hard-to-believe plot twists force the movie off track in its final half hour .,2,-1,0.8268268268268268,91.11,9.0,16,82,0,0,1.5828703227448837,0.3586826574131638
84,223018,8974,Could The Country Bears really be as bad as its trailers ?,1,-1,0.7817817817817818,77.23,6.0,11,58,0,2,1.5585720196151038,0.4222788347196397
85,223511,8453,"Good for a few unintentional laughs , `` Extreme Ops '' was obviously made for the `` XXX '' crowd , people who enjoy mindless action without the benefit of decent acting , writing , and direction .",2,-1,0.6746746746746747,33.58,16.0,29,198,0,2,1.4313448474403785,0.4964065116762813
86,223573,780,Happily for Mr. Chin -- though unhappily for his subjects -- the invisible hand of the marketplace wrote a script that no human screenwriter could have hoped to match .,4,1,0.4954954954954955,66.23,10.0,27,168,2,2,1.423151450019522,0.4849278502290652
87,223837,80,I loved it !,5,1,0.988988988988989,119.19,1.0,3,12,2,2,1.4031766100791832,0.5626266990799683
88,224007,8975,In a word -- yes .,3,0,0.3243243243243243,118.18,2.0,4,18,1,2,1.4781780571241472,0.4550479280002746
89,224195,8041,It 's laughing at us .,2,-1,0.6226226226226226,100.24,2.0,5,22,0,2,1.4199492961467708,0.489362199788926
90,225164,669,No question .,3,0,0.8868868868868869,77.91,1.0,2,13,1,2,1.5395685521829552,0.454423161948238
91,225184,8875,"Not ` terrible filmmaking ' bad , but more like , ' I once had a nightmare like this , and it 's now coming true ' bad .",2,-1,0.8658658658658659,75.54,8.0,21,120,0,0,1.4135071643474684,0.5598518097110543
92,225332,575,Only two words will tell you what you know when deciding to see it : Anthony .,3,0,0.6786786786786787,81.63,6.0,15,78,1,0,1.404845336011754,0.5157182941362947
93,225600,7923,Remember when Bond had more glamour than clamor ?,2,-1,0.6296296296296297,71.82,5.0,8,49,0,2,1.493753493321748,0.4155159225179035
94,226271,8535,The film is directed by Wally Wolodarsky from a script by Joe Jarvis and Greg Coolidge .,3,0,0.925925925925926,80.62,9.0,16,88,1,2,1.4399003221089284,0.5137494997245426
95,226497,8782,"The story is less vibrant , the jokes are a little lukewarm , but will anyone really care ?",3,0,0.2202202202202202,72.16,8.0,16,91,1,0,1.451821459545002,0.4536097205758582
96,226877,8476,"Unless you are in dire need of a Diesel fix , there is no real reason to see it .",2,-1,0.927927927927928,87.05,6.0,18,81,0,2,1.5017153898355826,0.4280101720042997
97,227681,289,`` its successes are also tempered with elements which prove the direct antithesis of what it gets right . '',3,0,0.3733733733733734,62.68,9.0,17,109,1,2,1.5697377160313142,0.3806269015551758
98,230177,421,"despite the long running time , the pace never feels slack -- there 's no scene that screams `` bathroom break ! ''",4,1,0.8638638638638638,87.05,12.0,18,115,2,0,1.5037940956891698,0.4417976606158991
